Feature,Target,Lag with Target,Cumulative Lag,Correlation,Level
Awareness,Consideration,11,11,0.909166043,first
Buzz,Consideration,4,4,0.873969478,first
Quality,Consideration,8,8,0.871514842,first
Current Customer,Consideration,1,1,0.87092216,first
Impression,Consideration,1,1,0.869220859,first
Attention,Awareness,2,13,0.807582533,second
Former Customer,Awareness,20,31,0.776553194,second
Value,Awareness,1,12,0.766229452,second
Ad Awareness,Awareness,8,19,0.733118395,second
WOM Exposure,Awareness,2,13,0.732498445,second
Recommend,Awareness,1,12,0.700551759,second
Value,Buzz,1,5,0.835147157,second
Attention,Buzz,19,23,0.796376438,second
Recommend,Buzz,1,5,0.784848031,second
Purchase Intent,Buzz,1,5,0.770819014,second
Reputation,Buzz,1,5,0.763822725,second
Recommend,Quality,1,9,0.847419622,second
Value,Quality,1,9,0.843324838,second
Attention,Quality,8,16,0.813366383,second
Reputation,Quality,1,9,0.80700045,second
Purchase Intent,Quality,2,10,0.759506884,second
Recommend,Current Customer,1,2,0.862712463,second
Reputation,Current Customer,1,2,0.842773415,second
Value,Current Customer,1,2,0.817857345,second
Attention,Current Customer,11,12,0.793788803,second
Purchase Intent,Current Customer,1,2,0.788658377,second
Recommend,Impression,1,2,0.862134074,second
Value,Impression,1,2,0.858094361,second
Reputation,Impression,1,2,0.825017151,second
Purchase Intent,Impression,2,3,0.773704348,second
Attention,Impression,8,9,0.768736749,second
Satisfaction,Recommend,1,3,0.736062633,third
