Feature,Target,Lag with Target,Cumulative Lag,Correlation,Level
WOM Exposure,Consideration,2,2,0.919078415,first
Attention,Consideration,2,2,0.91714984,first
Buzz,Consideration,2,2,0.916577728,first
Satisfaction,Consideration,1,1,0.899865566,first
Current Customer,Consideration,1,1,0.891822505,first
Awareness,WOM Exposure,1,3,0.856734095,second
Ad Awareness,WOM Exposure,1,3,0.849849067,second
Impression,WOM Exposure,1,3,0.835541353,second
Recommend,WOM Exposure,1,3,0.803224256,second
Quality,WOM Exposure,1,3,0.799457527,second
Ad Awareness,Attention,1,3,0.867054871,second
Awareness,Attention,1,3,0.852306706,second
Impression,Attention,1,3,0.796340586,second
Recommend,Attention,1,3,0.78962103,second
Quality,Attention,1,3,0.755303279,second
Ad Awareness,Buzz,1,3,0.869515215,second
Awareness,Buzz,1,3,0.86145206,second
Impression,Buzz,1,3,0.805129082,second
Recommend,Buzz,1,3,0.796795656,second
Quality,Buzz,1,3,0.761642022,second
Impression,Satisfaction,1,2,0.872735599,second
Recommend,Satisfaction,1,2,0.863117974,second
Ad Awareness,Satisfaction,4,5,0.8535543,second
Quality,Satisfaction,1,2,0.829642687,second
Awareness,Satisfaction,3,4,0.827729706,second
Ad Awareness,Current Customer,1,2,0.924185046,second
Impression,Current Customer,1,2,0.851275934,second
Awareness,Current Customer,2,3,0.84474807,second
Recommend,Current Customer,1,2,0.844193857,second
Quality,Current Customer,1,2,0.800635518,second
Value,Recommend,1,3,0.837435395,third
Value,Impression,1,3,0.814999312,third
