Feature,Target,Lag with Target,Cumulative Lag,Correlation,Level
Quality,Consideration,1,1,0.850948404,first
Reputation,Consideration,1,1,0.837042514,first
Buzz,Consideration,6,6,0.832210232,first
Impression,Consideration,1,1,0.82795978,first
Attention,Consideration,2,2,0.816511218,first
WOM Exposure,Quality,2,3,0.90067748,second
Ad Awareness,Quality,6,7,0.851479045,second
Recommend,Quality,1,2,0.847657864,second
Current Customer,Quality,1,2,0.833979557,second
Value,Quality,1,2,0.763793676,second
WOM Exposure,Reputation,6,7,0.842133356,second
Recommend,Reputation,1,2,0.839893127,second
Current Customer,Reputation,1,2,0.821990308,second
Value,Reputation,1,2,0.798488434,second
Ad Awareness,Reputation,6,7,0.775485392,second
WOM Exposure,Buzz,1,7,0.93974813,second
Ad Awareness,Buzz,4,10,0.878745716,second
Current Customer,Buzz,1,7,0.841659877,second
Recommend,Buzz,1,7,0.837217935,second
Value,Buzz,1,7,0.735879772,second
Recommend,Impression,1,2,0.869923919,second
WOM Exposure,Impression,2,3,0.868794471,second
Current Customer,Impression,1,2,0.828632578,second
Ad Awareness,Impression,4,5,0.815899841,second
Value,Impression,1,2,0.801761126,second
WOM Exposure,Attention,1,3,0.936721593,second
Ad Awareness,Attention,4,6,0.888528955,second
Current Customer,Attention,1,3,0.832486929,second
Recommend,Attention,1,3,0.831737091,second
Value,Attention,1,3,0.728890106,second
Satisfaction,Recommend,1,3,0.751346844,third
Satisfaction,Value,1,3,0.732542955,third
Former Customer,Ad Awareness,20,25,0.691198366,third
